63,0.0104,0.223,0.6287,0.0575,0.0017,0.2896,0.0001,0.0717,0.14,0.0003,0.3276,0.9057,0.1326,1.9135,8.2471,1.2199,11.4994,
64,0.0106,0.1044,0.6256,0.0696,0.0069,0.3028,0.0001,0.0643,0.1272,0.0002,0.2077,0.7941,0.128,1.6786,9.0426,1.0419,11.8865,
65,0.0105,0.2303,0.6225,0.0668,0.0038,0.3944,0.0001,0.0623,0.148,0.0002,0.2396,0.9298,0.1219,1.9277,9.0863,1.2281,12.3632,
66,0.0096,0.213,0.6016,0.0522,0.0033,0.3145,0.0001,0.0828,0.1408,0.0002,0.2087,0.8207,0.1181,1.7713,9.3792,1.1558,12.428,
67,0.0107,0.2133,0.6177,0.0532,0.0021,0.3104,0,0.0675,0.1405,0.0003,0.2113,0.8026,0.1203,1.8053,8.5581,1.1234,11.6139,
68,0.0118,0.2158,0.6239,0.0566,0.0053,0.2922,0.0001,0.062,0.1454,0.0003,0.2109,0.7906,0.1268,1.7788,8.6076,1.2178,11.7277,
69,0.0103,0.2248,0.6115,0.0516,0.0019,0.2952,0.0001,0.068,0.1385,0.0003,0.2189,0.7895,0.235,1.8846,9.1868,1.2285,12.4181,
70,0.0104,0.2155,0.6487,0.0533,0.0044,0.289,0,0.0761,0.1478,0.0002,0.2108,0.7971,0.1127,1.794,9.258,1.1256,12.2997,
71,0.0113,0.2059,0.6242,0.0532,0.0041,0.302,0.0001,0.0718,0.1361,0.0002,0.2115,0.8003,0.1163,1.7696,8.5304,1.2238,11.6455,
72,0.0107,0.1889,0.623,0.0551,0.0021,0.2775,0,0.0622,0.127,0.0002,0.2096,0.7494,0.1199,1.7034,9.4947,1.1338,12.4532,
73,0.0101,0.2287,0.629,0.0534,0.0017,0.277,0,0.0685,0.135,0.0003,0.2145,0.7619,0.1187,1.7577,8.1997,1.0685,11.1536,
74,0.0102,0.2135,0.6552,0.0566,0.0043,0.2862,0,0.057,0.1426,0.0003,0.2031,0.7656,0.1123,1.7696,8.7408,1.0992,11.7351,
75,0.0126,0.221,0.6173,0.0571,0.0034,0.2723,0,0.0566,0.134,0.0002,0.2734,0.8064,0.1121,1.7806,9.2762,1.2657,12.4476,
76,0.0105,0.2097,0.598,0.0508,0.0016,0.2766,0.0001,0.0643,0.1351,0.0002,0.2045,0.7424,0.1057,1.6741,8.1429,1.0667,11.0046,
77,0.0101,0.2165,0.5866,0.0575,0.0043,0.2837,0.0001,0.0699,0.1391,0.0003,0.2213,0.7934,0.1281,1.7456,7.8866,1.269,11.0194,
78,0.0101,0.2248,0.6019,0.0566,0.0014,0.236,0.0001,0.0671,0.1329,0.0002,0.2046,0.7079,0.1147,1.6672,8.3503,1.2506,11.3868,
79,0.0107,0.2161,0.6144,0.0567,0.0048,0.2832,0,0.0626,0.1459,0.0002,0.2138,0.7801,0.1183,1.7511,9.0764,1.2146,12.1639,
80,0.0111,0.1909,0.5979,0.0655,0.0019,0.2987,0.0001,0.0718,0.1284,0.0002,0.3278,0.9099,0.123,1.8496,8.9869,1.2715,12.2344,
81,0.0109,0.2211,0.6653,0.058,0.0023,0.2352,0,0.0682,0.1368,0.0002,0.2283,0.7436,0.1246,1.7806,8.5526,1.0964,11.5655,
82,0.0116,0.2234,0.6194,0.0561,0.0039,0.2359,0.0001,0.069,0.1409,0.0002,0.2095,0.7295,0.1085,1.7018,8.1517,1.084,11.0604,
83,0.0105,0.2204,0.6454,0.0611,0.0041,0.283,0.0001,0.07,0.1747,0.0003,0.2074,0.8222,0.1237,1.833,8.902,0.9545,11.8132,
84,0.0103,0.2142,0.623,0.0609,0.0043,0.2642,0.0001,0.0597,0.1355,0.0003,0.2168,0.754,0.1146,1.7264,9.4008,1.2555,12.5046,
85,0.01,0.224,0.5967,0.0513,0.0015,0.2295,0.0001,0.0646,0.1333,0.0002,0.2087,0.6981,0.1169,1.6565,9.3357,1.1012,12.2102,
86,0.01,0.2135,0.6065,0.0526,0.0034,0.2776,0.0001,0.0633,0.1337,0.0002,0.2001,0.7407,0.1149,1.6942,9.097,0.9683,11.884,
87,0.0115,0.2206,0.5942,0.0527,0.0042,0.2425,0.0001,0.0705,0.1478,0.0002,0.3151,0.85,0.1237,1.8084,9.0793,1.2333,12.2441,
88,0.0109,0.1118,0.5884,0.0531,0.0019,0.2755,0.0001,0.0567,0.1399,0.0002,0.1997,0.7407,0.1079,1.5715,9.3962,1.2476,12.3341,
89,0.0103,0.2898,0.6363,0.0549,0.0015,0.2967,0.0001,0.0734,0.1488,0.0002,0.2049,0.7998,0.1367,1.882,9.3032,0.6853,11.9919,
90,0.01,0.2279,0.6656,0.0682,0.0038,0.2717,0,0.0589,0.1353,0.0002,0.22,0.7702,0.1267,1.8092,8.3776,1.2644,11.5734,
91,0.0099,0.2186,0.6353,0.0556,0.0017,0.2731,0.0001,0.0573,0.1354,0.0002,0.2151,0.7518,0.1126,1.7391,7.921,1.1009,10.8772,
92,0.0112,0.2744,0.6811,0.051,0.0034,0.2761,0.0001,0.0578,0.1359,0.0002,0.2064,0.7404,0.1167,1.8303,9.4035,1.1634,12.5227,
93,0.0108,0.2812,0.6433,0.0528,0.0037,0.2786,0,0.0611,0.1464,0.0002,0.2116,0.7661,0.1967,1.9087,8.7334,1.149,11.9258,
94,0.0114,0.2807,0.6219,0.0573,0.0035,0.2732,0,0.0652,0.1378,0.0002,0.213,0.7626,0.1253,1.8125,9.1623,0.9748,12.084,
95,0.0104,0.2223,0.6388,0.0607,0.0041,0.2205,0.0001,0.0587,0.1359,0.0002,0.2105,0.707,0.1084,1.6981,8.0004,1.0837,10.9091,
96,0.0113,0.09,0.6313,0.0566,0.0021,0.2603,0,0.0608,0.1314,0.0002,0.2099,0.7379,0.1225,1.6079,9.4074,1.3068,12.4563,
97,0.0121,0.2214,0.6537,0.0551,0.002,0.2334,0.0001,0.0622,0.1382,0.0002,0.2028,0.7101,0.1294,1.7404,8.4161,1.2118,11.4909,
98,0.011,0.2216,0.7785,0.0572,0.0024,0.2862,0.0001,0.074,0.1472,0.0002,0.2145,0.8029,0.126,1.9496,8.527,1.1343,11.7329,
